Sluggers , Keston Hiura , 20200601 , 98.62542955326461
Sluggers , Keston Hiura , 20200410 , 97.78164419312745
Sluggers , Keston Hiura , 20200213 , 93.63339747343763
Sluggers , Keston Hiura , 20200513 , 97.50747756729811
Sluggers , Keston Hiura , 20200622 , 97.86476868327402
Sluggers , Keston Hiura , 20200310 , 94.93201483312733
Sluggers , Keston Hiura , 20200224 , 94.31205346854114
Sluggers , Keston Hiura , 20200425 , 98.49869451697127
Sluggers , Keston Hiura , 20200617 , 98.45916795069337
Sluggers , Keston Hiura , 20200624 , 96.95193434935521
Sluggers , Keston Hiura , 20200625 , 97.252208047105
Sluggers , Keston Hiura , 20200507 , 98.10017271157167
Sluggers , Keston Hiura , 20200529 , 97.83080260303689
Sluggers , Keston Hiura , 20200630 , 96.99948266942576
Sluggers , Keston Hiura , 20200501 , 98.458304134548
Sluggers , Keston Hiura , 20200707 , 97.01640974639483
Sluggers , Keston Hiura , 20200209 , 93.32117620241624
Sluggers , Keston Hiura , 20200409 , 97.53779697624189
Sluggers , Keston Hiura , 20200701 , 96.63512092534174
Sluggers , Keston Hiura , 20200227 , 94.41024378231963
Sluggers , Keston Hiura , 20200317 , 95.35715816086044
Sluggers , Keston Hiura , 20200628 , 97.03389830508475
Sluggers , Keston Hiura , 20200222 , 94.2961957887331
Sluggers , Keston Hiura , 20200427 , 98.25454545454545
Sluggers , Keston Hiura , 20200523 , 97.51984126984127
Sluggers , Keston Hiura , 20200211 , 93.63496932515338
Sluggers , Keston Hiura , 20200411 , 97.60614272809394
Sluggers , Keston Hiura , 20200525 , 97.0232558139535
Sluggers , Keston Hiura , 20200705 , 96.80111265646731
Sluggers , Keston Hiura , 20200403 , 97.72117962466488
Sluggers , Keston Hiura , 20200314 , 95.12954571860114
Sluggers , Keston Hiura , 20200517 , 97.52851711026615
Sluggers , Keston Hiura , 20200214 , 93.46012939434095
Sluggers , Keston Hiura , 20200303 , 94.57122750578064
Sluggers , Keston Hiura , 20200521 , 97.33727810650888
Sluggers , Keston Hiura , 20200710 , 96.75296182536201
Sluggers , Keston Hiura , 20200405 , 97.3415877640204
Sluggers , Keston Hiura , 20200524 , 97.50692520775624
Sluggers , Keston Hiura , 20200306 , 94.65152486491436
Sluggers , Keston Hiura , 20200404 , 97.31682146542828
Sluggers , Keston Hiura , 20200326 , 95.75028343634568
Sluggers , Keston Hiura , 20200308 , 94.79623651463731
Sluggers , Keston Hiura , 20200530 , 97.97225186766275
